,Country,State,Incident description,Vehicle model,Mode,Damage description,Injury description,Vehicle status,Fault,Weather,Time of Day,Road Conditions,Driverless,Collision Type,Vehicle type,Date,Time,Google Street View,Latitude,Longitude,near intersection,near crosswalk,near bus-bike lane,near two-way road,near traffic light,near light pole,near stop line,near stop sign,detection applied,Other Parties,Injury,Damage,Validity
10,United States,California,"The AV approached a heavy truck and trailer that was stopped in the adjacent lane on the left side of the street. As the AV began to slowly pass the truck, the truck initiated a reversing turn maneuver into a loading bay on the left side of the street. The AV then came to a stop, and as the AV was initiating its own reversing maneuver to clear the path for the truck, the trailer made contact with the AV.",Jaguar I-Pace,Autonomous,Front left corner,No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,Yes,Side swipe,Passenger car,22/08/2023,21:53,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.805065,-122.413496",37.805065,-122.413496,False,True,False,False,False,False,False,False,True,Truck  ,No Injury  ,Slight  ,Valid
11,United States,California,The AV was traveling straight in a channelized lane when it stopped at the traffic light and a Toyota Prius behind the AV made contact with the AV's rear bumper.,Chevrolet Bolt,Autonomous,No damage,The AV driver and monitoring operator on the backseat later mentioned back pain,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Unknown,Passenger car,28/10/2019,19:52,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.808078,-122.409540",37.808078,-122.40954,False,True,False,True,True,False,False,False,True,Car  ,Slight  ,No Damage  ,Valid
12,United States,California,"The AV was completing a left turn, a Hyundai Accent behind also turning left tried to pass the AV on the left, and while passing turned back into the AV's lane too tightly and clipped the AV's front left sensor.",Chevrolet Bolt,Autonomous,Front left sensor,No injury,Moving,Driver of another vehicle,Unknown,Unknown,Unknown,No,Side swipe,Passenger car,19/02/2018,16:57,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.807465,-122.407475",37.807465,-122.407475,True,True,True,True,True,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
13,United States,California,"The AV was yielding to another vehicle in the left adjacent lane that encroached into the AV's lane, the AV driver disengaged autonomous mode, and shortly thereafter, a Honda Accord made contact with the rear bumper of the AV.",Chevrolet Bolt,Disengagement,"Rear right bumper, fascia, signal lemp and radar assembly",The AV driver and monitoring operator later mentioned neck and back injuries,Moving,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,25/10/2019,11:05,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.804040,-122.402106",37.80404,-122.402106,False,False,False,False,True,False,True,False,True,Car  ,Slight  ,Severe  ,Valid
14,United States,California,"The AV made a gradual stop at the stop sign. While waiting, the AV was rear-ended by an Infiniti M35.",Toyota Highlander,Autonomous,No damage,No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Unknown,No,Unknown,Passenger car,19/11/2018,22:03,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.803143,-122.409743",37.803143,-122.409743,False,False,False,False,False,False,False,False,False,Car  ,No Injury  ,No Damage  ,Valid
15,United States,California,The AV driver was proceeding straight through the intersection when a Dodge pickup truck in the left adjacent lane turned right in front of the AV and made contact with the AV.,Toyota Highlander,Conventional,Front left bumper,No injury,Moving,Driver of another vehicle,Cloudy,Daylight,Dry,No,Unknown,Passenger car,20/10/2021,15:04,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.802047,-122.412787",37.802047,-122.412787,True,True,False,True,True,True,False,False,True,Truck  ,No Injury  ,Slight  ,Valid
16,United States,California,The AV driver was stopped in a legal curbside parking spot when a Mazda CX-9 approaching from the rear made contact with the AV. The AV was towed from the incident.,Chevrolet Bolt,Conventional,Rear left quarter panel,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Rear-end,Passenger car,16/06/2022,19:52,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.804332,-122.418369",37.804332,-122.418369,False,True,False,True,False,False,False,False,True,Car  ,No Injury  ,Severe  ,Valid
17,United States,California,The AV driver was following a sharp curve in the road when made contact with a concrete abutment on the right.,Toyota Highlander,Conventional,Right side,No injury,Moving,In-vehicle AV driver,Clear,Daylight,Dry,No,Hit object,Passenger car,10/04/2023,10:54,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.802212,-122.418394",37.802212,-122.418394,False,False,False,False,False,False,False,False,True,Other  ,No Injury  ,Severe  ,Valid
18,United States,California,"The AV driver stopped to yield to an oncoming pickup truck in order to make the left turn. As the truck passed the AV, its driver-side mirror grazed the driver-side mirror of the AV.",Toyota Highlander,Conventional,Driver-side mirror,No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Unknown,Passenger car,22/07/2019,20:49,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799265,-122.419103",37.799265,-122.419103,True,True,False,True,False,False,False,False,True,Truck  ,No Injury  ,Slight  ,Valid
19,United States,California,The AV driver stopped the AV at a red light when a Ford approaching the rear of the AV at approximately 26 mph collided with the AV.,Jaguar I-Pace,Conventional,Rear right bumper,Occupants of the AV reported soreness in their shoulders after leaving the scene,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Rear-end,Passenger car,21/09/2021,4:29,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799288,-122.440860",37.799288,-122.44086,True,True,False,False,True,True,False,False,True,Car  ,Slight  ,Slight  ,Valid
20,United States,California,"The AV after coming to a complete stop switched to reverse gear in preparation for making a multipoint turn. Within fractions of a second, the AV driver applied the accelerator pedal to disengage autonomous mode. The AV then made contact with a Honda Civic that was stopped behind the AV.",Jaguar I-Pace,Disengagement,Rear bumper,No injury,Moving,AV technology,Clear,Daylight,Dry,No,Unknown,Passenger car,29/03/2021,8:20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.797429,-122.440523",37.797429,-122.440523,False,False,True,False,False,False,True,False,True,Car  ,No Injury  ,Slight  ,Valid
21,United States,California,The AV was stopped for a red light when a Toyota RAV4 traveling at high rate of speed changed lanes and approached the AV from behind and made contact with the AV.,Jaguar I-Pace,Autonomous,Rear bumper,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,Yes,Rear-end,Passenger car,03/06/2024,18:26,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799806,-122.436278",37.799806,-122.436278,False,False,False,False,True,True,False,True,True,Car  ,No Injury  ,Slight  ,Valid
22,United States,California,"The AV approached a Ford Ranger that was reversing, the AV stopped as the Ford continued to reverse and made contact with the AV. The AV was towed from the incident.",Chevrolet Bolt,Autonomous,Front bumper,No injury,Stationary,Shared fault,Clear,"Night, with street lights",Dry,Yes,Head-on,Passenger car,25/03/2022,2:07,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798888,-122.436376",37.798888,-122.436376,False,False,True,True,False,False,False,True,True,Truck  ,No Injury  ,Slight  ,Valid
23,United States,California,The AV driver accelerated from the stationary position when parked parallel to the curb and made contact with a BMW 328i.,Jaguar I-Pace,Conventional,Front bumper and grille,No injury,Moving,In-vehicle AV driver,Clear,Daylight,Dry,No,Unknown,Passenger car,01/06/2021,9:09,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.796193,-122.431901",37.796193,-122.431901,False,True,False,False,False,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
24,United States,California,The AV driver stopped at the four-way stop sign intersection when a Toyota Prius made contact with the AV's rear bumper. The Toyota left the scene.,Chrysler Pacifica,Conventional,Rear bumper,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,02/06/2021,17:52,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.795754,-122.430160",37.795754,-122.43016,True,True,False,False,False,False,True,False,True,Car  ,No Injury  ,Slight  ,Valid
25,United States,California,"The AV was stopped waiting to maneuver around a double-parked vehicle. Another vehicle directly behind the AV attempted to pass the AV on the left, and in doing so clipped the left rear corner of the AV.",Chevrolet Bolt,Autonomous,Rear bumper and left rear sensor,"The AV monitoring operator later reported neck stiffness, but did not seek medical treatment",Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Side swipe,Passenger car,12/05/2018,0:15,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.796881,-122.425338",37.796881,-122.425338,True,False,False,False,True,False,False,False,True,Car  ,Slight  ,Slight  ,Valid
26,United States,California,"The AV was in the process of passing a mobile crane truck that was double parked. During this maneuver, a Ford F-250 approached and simultaneously went around both the AV and the crane truck. While the Ford made its pass, the AV stopped. As the Ford completed its pass and turned back into the forward lane of travel, the Ford impacted the AV.",Chevrolet Bolt,Autonomous,"Front, driver's side sensor and mount",No injury,Stationary,Driver of another vehicle,Unknown,Unknown,Unknown,No,Side swipe,Passenger car,22/03/2017,10:35,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.795258,-122.427415",37.795258,-122.427415,False,False,False,False,False,False,False,False,True,Truck  ,No Injury  ,Slight  ,Valid
27,United States,California,"The AV was waiting to make a left turn and yielding to oncoming traffic when the AV driver disengaged autonomous mode and proceeded with a left turn manually. During the left turn, a Chevrolet Express struck the right side of the AV.",Chrysler Pacifica,Disengagement,Rear right fender,No injury,Moving,Driver of another vehicle,Cloudy,Daylight,Dry,No,Unknown,Passenger car,11/07/2021,15:30,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.795320,-122.426724",37.79532,-122.426724,True,True,False,False,True,False,False,False,True,Truck  ,No Injury  ,Slight  ,Valid
28,United States,California,"The AV driver approached the 4-way intersection at low speed, a Mercedes GLC 300 did as well from other direction. Both vehicles came to their respective stops at the intersection, then both vehicles resumed movement through the intersection at the same time and came in contact with one another at low speed.",Toyota Highlander,Conventional,Front right side,No injury,Moving,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,05/08/2020,10:50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.797839,-122.422171",37.797839,-122.422171,True,True,False,False,False,False,True,False,True,Car  ,No Injury  ,Slight  ,Valid
29,United States,California,"The AV was stopped at a stop sign, then moved slightly forward and slowed down in caution to a pedestrian on its left and potential oncoming vehicles when the driver of a BMW 328 IX made contact with the rear bumper of the AV.",Toyota Highlander,Autonomous,No damage,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,11/10/2019,14:00,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.797736,-122.422122",37.797736,-122.422122,True,True,True,True,False,False,True,False,True,Car  ,No Injury  ,No Damage  ,Valid
30,United States,California,"The AV driver parked the AV paralelly to the curb on the side of the street, a Volkswagen Tiguan in the left adjacent traffic lane sideswiped and made contact with the left side of the AV and the parked vehicle in front of the AV.",Chevrolet Bolt,Conventional,"Driver's side mirror, camera, articulating radar assembly and doors",No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Unknown,Passenger car,09/11/2019,0:54,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.796965,-122.421813",37.796965,-122.421813,True,True,False,False,True,True,False,True,True,Car  ,No Injury  ,Severe  ,Valid
31,United States,California,"The AV driver stopped the AV at the four-way stop, a scooter turning right lost control and collided with the AV.",Chevrolet Bolt,Conventional,Left side view mirror,"The scooter driver appeared to have scraped her legs, but did not seek medical attention",Moving,Scooterist,Unknown,Unknown,Unknown,No,Broadside,Passenger car,28/03/2018,11:03,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798475,-122.410532",37.798475,-122.410532,True,True,False,False,False,True,False,False,True,Scooter  ,Slight  ,Slight  ,Valid
32,United States,California,The AV was stopped at a red light when an Isuzu truck turning left made contact with the front left corner of the AV. The Isuzu left the scene.,Jaguar I-Pace,Autonomous,Front left corner,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Side swipe,Passenger car,10/04/2024,10:13,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798611,-122.408722",37.798611,-122.408722,True,True,False,False,True,True,False,False,True,Truck  ,No Injury  ,Slight  ,Valid
33,United States,California,"The AV driver was proceeding with the right of way through a four-way stop, when a scooterist failed to stop at the stop sign and proceeded into the intersection from the right and made contact with the AV.",Toyota Highlander,Conventional,Rear right corner,No injury,Moving,Scooterist,Clear,Daylight,Dry,No,Rear-end,Passenger car,21/03/2022,15:00,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.801381,-122.409399",37.801381,-122.409399,True,True,False,False,False,True,True,False,True,Scooter  ,No Injury  ,Slight  ,Valid
34,United States,California,The AV slowed to a gradual stop with brake and hazard lights activated during a simulated pick up-drop off maneuver when a Honda Odyssey rear-ended the AV.,Toyota Highlander,Autonomous,Rear bumper,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Rear-end,Passenger car,14/01/2024,14:11,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.800917,-122.409333",37.800917,-122.409333,False,False,False,False,False,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
35,United States,California,"The AV was stopped at a stop sign when an electric scooter was following closely behind and the scooter driver was not focused on the AV in front of it, the scooter's front tire made contact with the rear bumper of the AV.",Toyota Highlander,Autonomous,No damage,No injury,Stationary,Scooterist,Clear,Daylight,Dry,No,Unknown,Passenger car,10/10/2019,12:09,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.800611,-122.407715",37.800611,-122.407715,True,True,False,False,False,True,False,False,True,Scooter  ,No Injury  ,No Damage  ,Valid
36,United States,California,"The AV driver was traveling on the one-way street when a cyclist turned left and rode into the front of the AV. The cyclist's left turn caused the cyclist to travel in the wrong direction on the one-way street. After contact, the cyclist continued traveling against the one-way.",Toyota Highlander,Conventional,No damage,No injury,Moving,Cyclist,Clear,Daylight,Dry,No,Unknown,Passenger car,10/06/2019,11:16,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.800522,-122.407583",37.800522,-122.407583,True,True,True,False,False,True,False,True,True,Cyclist  ,No Injury  ,No Damage  ,Valid
37,United States,California,The AV driver stopped and waited to pass a double-parked vehicle when a Jaguar F-Pace executing a three-point turn made contact with the AV.,Toyota Highlander,Conventional,Rear sensor,No injury,Stationary,Driver of another vehicle,Cloudy,Daylight,Dry,No,Unknown,Passenger car,10/02/2021,9:33,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799564,-122.408756",37.799564,-122.408756,True,False,False,False,True,True,False,False,True,Car  ,No Injury  ,Slight  ,Valid
38,United States,California,The AV driver parked the AV with hazard lights blinking while a BMW 328i reversed from a horizontal parking spot of the oncoming lane and made contact with the rear left corner of the AV.,Toyota Highlander,Conventional,Rear left sensors,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,07/01/2020,9:09,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799771,-122.406742",37.799771,-122.406742,True,False,False,False,False,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
39,United States,California,"The AV was on a steep hill, turning right, when its undercarriage made contact with the pavement.",Jaguar I-Pace,Autonomous,Undercarriage,No injury,Moving,No fault,Clear,Daylight,Dry,No,Other,Passenger car,20/10/2022,8:26,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.801720,-122.406260",37.80172,-122.40626,True,False,False,False,True,False,False,False,True,Other  ,No Injury  ,Slight  ,Valid
40,United States,California,The AV was traveling straight when it approached a partially covered manhole and the manhole cover made contact with the underside of the AV.,Jaguar I-Pace,Autonomous,Underside of the car,No injury,Moving,No fault,Clear,"Night, with street lights",Dry,No,Other,Passenger car,03/11/2021,6:41,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.800407,-122.402056",37.800407,-122.402056,False,False,False,False,False,False,False,False,True,Other  ,No Injury  ,Slight  ,Valid
41,United States,California,"The AV driver was going straight through the intersection with the right-of-way, while the driver of Nissan Altima was distracted when it turned into and collided with the AV.",Toyota Highlander,Conventional,Driver-side doors,No injury,Moving,Driver of another vehicle,Unknown,Unknown,Unknown,No,Broadside,Passenger car,26/09/2017,PM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.800447,-122.401497",37.800447,-122.401497,True,True,False,False,False,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
42,United States,California,The AV was making a left turn when it encountered a semi-truck flatbed parked in the intersection. The AV made contact with the rear right side of the truck at a very low speed.,Toyota Highlander,Autonomous,Front right corner,No injury,Moving,AV technology,Clear,Daylight,Dry,No,Unknown,Passenger car,13/07/2020,13:50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799847,-122.398902",37.799847,-122.398902,False,False,False,False,False,True,True,False,True,Truck  ,No Injury  ,Slight  ,Valid
43,United States,California,The AV driver waited for a pedestrian to clear the crosswalk before making a right turn when a cyclist biked into the rear bumper of the AV. The cyclist continued riding.,Toyota Highlander,Conventional,No damage,No injury,Stationary,Cyclist,Clear,Daylight,Dry,No,Rear-end,Passenger car,23/09/2018,9:18,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799231,-122.397893",37.799231,-122.397893,True,True,False,False,True,False,False,False,True,Cyclist  ,No Injury  ,No Damage  ,Valid
44,United States,California,"The AV was stopped in the dedicated left turn lane, awaiting a green signal for a protected left turn. The signal for traffic proceeding straight turned green, and traffic in adjacent lanes began moving. The left turn arrow signal for the dedicated turn lane occupied by the AV remained red. The passenger car that had been stopped directly behind the AV began moving forward and rear-ended the AV. Immediately after that the passenger car left the scene.",Jaguar I-Pace,Autonomous,Rear bumper,The AV driver reported lower back pain,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Rear-end,Passenger car,01/07/2022,6:54,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799126,-122.397448",37.799126,-122.397448,True,True,False,False,True,False,False,False,True,Car  ,Slight  ,Slight  ,Valid
45,United States,California,The AV driver was stopped at the intersection when a Ford Mustang rear-ended the AV.,Toyota Highlander,Conventional,Rear sensor bracket,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Rear-end,Passenger car,03/11/2022,13:39,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799421,-122.402305",37.799421,-122.402305,True,True,False,False,False,False,True,False,True,Car  ,No Injury  ,Slight  ,Valid
46,United States,California,"The AV driver pulled over in the right lane, when a Land Rover Range Rover that was passing the AV made contact with the AV.",Jaguar I-Pace,Conventional,Rear left corner,No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Side swipe,Passenger car,10/09/2023,20:33,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.799151,-122.402327",37.799151,-122.402327,True,True,False,False,False,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
47,United States,California,The AV driver stopped the AV in the left turn lane when a Chrysler 300 approaching from the rear in the right adjacent lane collided into the AV. The Chrysler immediately left the scene.,Toyota Highlander,Conventional,Right side passenger doors,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Unknown,Passenger car,20/09/2021,15:15,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798427,-122.402251",37.798427,-122.402251,True,True,False,False,True,True,False,False,True,Car  ,No Injury  ,Slight  ,Valid
48,United States,California,"The AV was proceeding straight through an intersection with a green light and right of way when a Nissan Altima attempted an illegal left turn across lanes of traffic into the AV's right of way. The AV driver disengaged autonomous mode and applied max braking attempt which allowed to mitigate, but not completely prevent the unavoidable collision.",Toyota Highlander,Disengagement,Front bumper,No injury,Moving,Shared fault,Clear,Daylight,Dry,No,Head-on,Passenger car,13/10/2022,14:52,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798453,-122.402244",37.798453,-122.402244,True,True,False,False,True,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
49,United States,California,"The AV driver was stopped behind a bus in the right lane, when a passenger car that had been stopped behind the AV began to move forward and rear-ended the AV.",Jaguar I-Pace,Conventional,Rear bumper,No injury,Stationary,Driver of another vehicle,Clear,Daylight,Dry,No,Rear-end,Passenger car,15/08/2022,9:11,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798351,-122.402639",37.798351,-122.402639,False,False,False,True,True,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
50,United States,California,"The AV driver was stopped at the intersection at a red traffic light when another vehicle making a left turn erratically veered toward the AV, resulting in a low speed collision with the AV. The driver initially stopped and partially opened the drivers door, but then drove away from the scene.",Toyota Highlander,Conventional,Front bumper,No injury,Stationary,Driver of another vehicle,Raining,"Night, with street lights",Wet,No,Head-on,Passenger car,19/05/2023,22:48,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.798113,-122.403835",37.798113,-122.403835,True,True,False,True,True,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
51,United States,California,The AV was stopped at a red light when a Toyota Prius approached from behind and rear-ended the AV.,Jaguar I-Pace,Conventional,Rear bumper,No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Rear-end,Passenger car,12/12/2022,22:11,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.797857,-122.405474",37.797857,-122.405474,True,True,False,True,True,False,False,False,True,Car  ,No Injury  ,Slight  ,Valid
52,United States,California,"The AV was stationary yielding for an oncoming bus encroaching upon its lane when the bus struck driver's side mirror, causing it to fold with minor damage. The bus driver did not stop.",Toyota Highlander,Autonomous,Driver's side mirror,No injury,Stationary,Driver of another vehicle,Clear,"Night, with street lights",Dry,No,Unknown,Passenger car,25/02/2020,20:52,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.797757,-122.403779",37.797757,-122.403779,False,False,False,False,False,False,False,False,True,Bus  ,No Injury  ,Slight  ,Valid
53,United States,California,The AV driver was reversing out of a parked position and struck a pole.,Jaguar I-Pace,Conventional,Rear bumper,No injury,Moving,In-vehicle AV driver,Clear,"Night, with street lights",Dry,No,Hit object,Passenger car,09/02/2022,20:00,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.797846,-122.404058",37.797846,-122.404058,False,False,True,False,False,False,False,False,True,Other  ,No Injury  ,Slight  ,Valid
